Title,URL,TextFile,Status,Reason
Blueprint for a Global Digital Product Information System ( ...,https://www.oneplanetnetwork.org/sites/default/files/2025-12/UNEP%20Blueprint%20-%20FINAL.pdf,www_oneplanetnetwork_org_Blueprint_for_a_Global_Digital_Product_Information.txt,failed,[BLOCKED_403] https://www.oneplanetnetwork.org/sites/default/files/2025-12/UNEP%20Blueprint%20-%20FINAL.pdf
Global Status Report for Buildings and Construction 2024/25,https://globalabc.org/sites/default/files/2025-03/Global-Status-Report-2024_2025.pdf,globalabc_org_Global_Status_Report_for_Buildings_and_Constructio.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='globalabc.org', port=443): Max retries exceeded with url: /sites/default/files/2025-03/Global-Status-Report-2024_2025.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E20868DD90>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
Progress report on the 10-Year Framework of Programmes ...,https://www.unep.org/resources/report/progress-report-10-year-framework-programmes-sustainable-consumption-and,www_unep_org_Progress_report_on_the_10_Year_Framework_of_Progra.txt,failed,[BLOCKED_403] https://www.unep.org/resources/report/progress-report-10-year-framework-programmes-sustainable-consumption-and
The Global E-waste Monitor 2020,https://ewastemonitor.info/wp-content/uploads/2020/11/GEM_2020_def_july1_low.pdf,ewastemonitor_info_The_Global_E_waste_Monitor_2020.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='ewastemonitor.info', port=443): Max retries exceeded with url: /wp-content/uploads/2020/11/GEM_2020_def_july1_low.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E200BFAEE0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
FROM POLLUTION TO SOLUTION,https://www.gdr-po.cnrs.fr/docs/UNEP_2021.pdf,www_gdr-po_cnrs_fr_FROM_POLLUTION_TO_SOLUTION.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.gdr-po.cnrs.fr', port=443): Max retries exceeded with url: /docs/UNEP_2021.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E20D5AC790>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
Economic Commission for Europe,https://unece.org/sites/default/files/2021-05/E_ECE_1494_e_Final.pdf,unece_org_Economic_Commission_for_Europe.txt,failed,[BLOCKED_403] https://unece.org/sites/default/files/2021-05/E_ECE_1494_e_Final.pdf
State of the Environment and Development in ...,https://planbleu.org/wp-content/uploads/2020/11/SoED-Full-Report.pdf,planbleu_org_State_of_the_Environment_and_Development_in_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='planbleu.org', port=443): Max retries exceeded with url: /wp-content/uploads/2020/11/SoED-Full-Report.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E20D5A8CA0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
Macroeconomic and Financial Policies for Climate Change ...,https://www.elibrary.imf.org/view/journals/001/2019/185/article-A001-en.xml,www_elibrary_imf_org_Macroeconomic_and_Financial_Policies_for_Climate_C.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.elibrary.imf.org', port=443): Max retries exceeded with url: /view/journals/001/2019/185/article-A001-en.xml (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E24E1C2DC0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
The Global E-waste Monitor 2020,https://www.itu.int/en/ITU-D/Environment/Documents/Toolbox/GEM_2020_def.pdf,www_itu_int_The_Global_E_waste_Monitor_2020.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.itu.int', port=443): Max retries exceeded with url: /en/ITU-D/Environment/Documents/Toolbox/GEM_2020_def.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E256AFD8E0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
GREEN ECONOMY TRANSITION APPROACH 2021-2025,https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/green-economy-transition/ebrds-green-economy-transition-approach/Green-Economy-Transition-Approach-2021-2025.pdf,www_ebrd_com_GREEN_ECONOMY_TRANSITION_APPROACH_2021_2025.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.ebrd.com', port=443): Max retries exceeded with url: /content/dam/ebrd_dxp/assets/pdfs/green-economy-transition/ebrds-green-economy-transition-approach/Green-Economy-Transition-Approach-2021-2025.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E207062E80>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time"
